3295;CASTANHA DO PARA FERIDA 20KG              ;1.030,00;1030;0;0;1006
3296;CASTANHA DO PARA LARGE 1KG                 ;80.6;120.9;0.5;100;1006
3297;CASTANHA DO PARA LARGE CX 20 KG           ;1579.75;1579.75;0;0;1006
3298;CASTANHA DO PARA MEDIA 1KG                 ;69;69;0;0;1006
3299;CASTANHA DO PARA MEDIA CX 20 KG           ;1352.4;1352.4;0;0;1006
3300;CASTANHA DO PARA NA CASCA 1KG              ;18;18;0;0;1006
3301;CASTANHA DO PARA QUEBRADA 1KG              ;55.6;55.6;0;0;1006
3302;CASTANHA DO PARA QUEBRADA CX 20 KG        ;1089.75;1089.75;0;0;1006
3303;CATUABA PO 1KG                             ;11.05;16.575;0.5;100;1006
3304;CEBOLA BRANCA 300G VD. CONTE                ;6.61;6.61;0;0;1006
3305;CEBOLINHA CRISTAL 200G VD TIO PRCO         ;6.06;6.06;0;0;1006
3306;CEBOLINHA CRISTAL 200G VD. BOM JESUS       ;5.38;5.38;0;0;1006
3307;CEBOLINHA CRISTAL 2KG BD TIO PACO          ;31;31;0;0;1006
3308;CEBOLINHA CRISTAL BALDE 2KG BOM JESUS      ;33.5;33.5;0;0;1006
3309;CEREAL COM CHOCOLATE 1KG                   ;22.4;22.4;0;0;1006
3310;CEREJA C/TALO CURICO LT 1.65KG             ;94.05;94.05;0;0;1006
3311;CEREJA DESIDRATADA 1KG                     ;50.85;50.85;0;0;1006
3312;CEREJA S/TALO LT 1.8KG                     ;80.25;80.25;0;0;1006
3313;CERVEJA DE MEL                             ;19.35;19.35;0;0;1006
3314;CEVADA EM GRAO 1KG                         ;7.05;7.05;0;0;1006
3315;CHA 30 ERVAS 1KG                           ;13;19.5;0.5;100;1006
3316;CHA 30 ERVAS PCT 120G                      ;3.25;4.875;0.5;100;1006
3317;CHA 37 ERVAS PCT 120G                      ;3.25;4.875;0.5;100;1006
3318;CHA 7 ERVAS 1KG                            ;13;19.5;0.5;100;1006
